,Type,Definition
0,PROJECT_ROLE,A specific function or responsibility held by an individual within a project.
1,MEDICAL_PROCEDURE,"A series of actions performed to diagnose, treat, or prevent illness or injury."
2,PRIMARY_AUTHOR_INTERNATIONAL_PUBLICATION_COUNT,The numerical quantity of international publications for which an individual is the primary author.
3,WORK_TITLE,"The designated name of a creative, intellectual, or professional work."
4,PROGRAM_DESCRIPTION,"A textual account detailing the nature, objectives, or content of a program."
5,ADDRESS,A structured set of information specifying a physical location.
6,PUBLICATION_TITLE,The designated name of a published work.
7,BOOK_TYPE,"A classification indicating the genre, format, or purpose of a book."
8,DEADLINE,A specified date or time by which a task or activity must be completed.
9,STREET,"The specific name of a thoroughfare, often including its type (e.g., Road, Avenue)."
10,ROLE_CLASSIFICATION,A categorization assigned to a specific role based on predefined criteria.
11,FIELD_DESCRIPTION,A textual explanation providing details or context for a specific field or data entry.
12,EDUCATIONAL_ACTIVITY,A structured event or process undertaken for learning or skill development.
13,DEGREE_LEVEL,A classification indicating the academic standing or stage of an earned degree.
14,CONFERENCE,A formal meeting where professionals or academics present and discuss topics within a specific field.
15,FORM_FIELD_LABEL,"A descriptive text associated with a form field, indicating its purpose."
16,PAGERANGE,A specification of the start and end page numbers within a document or publication.
17,LIST_ITEM_NUMBER,A numerical label used to identify a specific item within an ordered list.
18,ACADEMIC_ABBREVIATION,"A shortened form of an academic term, degree, or institution name."
19,METRIC,"A quantitative measure used to assess, compare, or track performance or status."
20,ACADEMIC_COMMITTEE,A formal group of individuals within an academic institution formed to address specific functions or issues.
21,PROJECT_LEVEL,A classification indicating the hierarchical or developmental stage of a project.
22,DURATION,The length of time that something continues or exists.
23,ABBREVIATION,A shortened form of a word or phrase.
24,PROJECT_IDENTIFIER,A unique code or name used to identify a specific project.
25,PUBLICATION_TYPE,"A classification indicating the genre, format, or nature of a published work."
26,REGISTRATION_CATEGORY,A classification specifying the type of registration or enrollment.
27,ARTICLETITLE,The designated name of a published article.
28,EVENT,A planned public or social occasion.
29,GOVERNMENT_AGENCY,An official organization within a governmental structure responsible for specific functions.
30,CLASSIFICATION_TYPE,A categorization indicating the scheme or nature of a classification.
31,LEGAL_DOCUMENT,A formal written instrument that has legal effect or serves as evidence of a legal transaction.
32,ROLE,A specific function or position held by an entity.
33,CATEGORY,A division or class in a system of classification.
34,INTELLECTUAL_PROPERTY_TYPE,"A classification indicating the nature of an intangible creation granted legal protection (e.g., patent, copyright)."
35,DEGREE,An academic qualification conferred by a university or college upon completion of a course of study.
36,PROFESSIONAL_CAPABILITY,"A specific skill, ability, or area of expertise demonstrated in a professional context."
37,CITY,"A large human settlement, typically with a defined municipal government."
38,RESEARCH_FIELD,A specific area of academic or scientific study and inquiry.
39,ACRONYM,An abbreviation formed from the initial letters of other words and pronounced as a word.
40,JOURNAL_METRIC,A quantitative measure used to assess the impact or performance of a journal.
41,LOCATION_TYPE,A classification indicating the nature or purpose of a specific place or position.
42,CHECKBOX_SYMBOL,A graphical mark or icon indicating the selected or unselected state of a checkbox.
43,ACADEMIC_COUNCIL,A formal deliberative body within an academic institution responsible for governance or policy.
44,QUANTITY,A numerical amount or measure of something.
45,ACHIEVEMENTTYPE,A classification indicating the nature or category of a notable accomplishment.
46,AWARD,A prize or distinction given to recognize an accomplishment or merit.
47,HOSPITAL,An institution providing medical and surgical treatment and nursing care for sick or injured people.
48,MEDICAL_TERM,A specialized word or phrase used in the field of medicine.
49,ACADEMIC_ROLE_OR_DEGREE,A classification encompassing both formal academic positions and earned educational qualifications.
50,YEAR,"A calendar year, representing a period of 365 or 366 days."
51,SPECIALIZATION,A specific area of expertise or focus within a broader field.
52,STUDENT,An individual formally enrolled in an educational institution for the purpose of learning.
53,JOURNAL,A periodical publication containing articles and papers on a particular subject.
54,ACHIEVEMENT_TYPE,A classification indicating the nature or category of a notable accomplishment.
55,MEDICAL_CONDITION,"A state of health or illness, often characterized by symptoms or findings."
56,FORM_FIELD,A designated area within a form for data entry or display.
57,RESEARCH_GROUP_IDENTIFIER,A unique code or name used to identify a specific research group.
58,IDENTIFIER,"A unique code, name, or number used to distinguish an entity."
59,IDENTIFIER_TYPE,A classification indicating the nature or scheme of an identifier.
60,INSTRUCTION_PHRASE,A brief sequence of words conveying directions or guidance.
61,MEDICAL_SCORE,A numerical value obtained from a standardized assessment used in medical evaluation.
